Date,Open*,High,Low,Close**,Volume,Market Cap
"Oct 29, 2020",$0.3082,$0.3111,$0.3007,$0.3021,"$2,680,488","$116,778,526"
"Oct 28, 2020",$0.3092,$0.32,$0.3042,$0.3082,"$6,950,531","$119,140,445"
"Oct 27, 2020",$0.3042,$0.3185,$0.3035,$0.3092,"$5,285,969","$119,539,246"
"Oct 26, 2020",$0.3081,$0.3182,$0.3007,$0.3042,"$5,285,422","$117,646,760"
"Oct 25, 2020",$0.3115,$0.3126,$0.3069,$0.3081,"$2,058,405","$119,174,243"
"Oct 24, 2020",$0.3165,$0.3169,$0.311,$0.3115,"$2,582,214","$120,507,685"
"Oct 23, 2020",$0.3141,$0.3279,$0.3116,$0.3165,"$4,803,647","$122,427,603"
"Oct 22, 2020",$0.3123,$0.3158,$0.3109,$0.314,"$3,319,204","$121,501,234"
"Oct 21, 2020",$0.3103,$0.3174,$0.3093,$0.3123,"$4,010,769","$120,837,222"
"Oct 20, 2020",$0.3202,$0.3204,$0.3093,$0.3105,"$4,521,978","$120,139,653"
"Oct 19, 2020",$0.3137,$0.329,$0.3099,$0.32,"$4,305,719","$123,833,585"
"Oct 18, 2020",$0.3166,$0.3174,$0.3119,$0.3137,"$1,056,352","$121,349,578"
"Oct 17, 2020",$0.3189,$0.3189,$0.3138,$0.3167,"$1,508,407","$122,525,304"
"Oct 16, 2020",$0.3243,$0.3245,$0.3068,$0.319,"$3,485,102","$123,394,294"
"Oct 15, 2020",$0.32,$0.3273,$0.3168,$0.3243,"$2,913,869","$125,450,444"
"Oct 14, 2020",$0.3163,$0.3344,$0.3162,$0.3203,"$6,948,029","$123,884,686"
"Oct 13, 2020",$0.3252,$0.3253,$0.3117,$0.3163,"$4,056,493","$122,320,739"
"Oct 12, 2020",$0.3212,$0.3295,$0.3124,$0.3252,"$4,100,528","$125,784,201"
"Oct 11, 2020",$0.3079,$0.3228,$0.3027,$0.3213,"$4,081,973","$124,216,036"
"Oct 10, 2020",$0.3171,$0.3186,$0.3026,$0.3081,"$3,963,075","$119,118,361"
"Oct 09, 2020",$0.3011,$0.3175,$0.3007,$0.3175,"$3,127,575","$122,730,098"
"Oct 08, 2020",$0.3033,$0.304,$0.295,$0.3011,"$2,563,977","$116,355,367"
"Oct 07, 2020",$0.2947,$0.3035,$0.2893,$0.3032,"$2,705,269","$117,147,330"
"Oct 06, 2020",$0.311,$0.3184,$0.2924,$0.2946,"$3,098,149","$113,837,265"
"Oct 05, 2020",$0.3019,$0.3257,$0.3004,$0.3109,"$4,612,694","$120,111,145"
"Oct 04, 2020",$0.311,$0.3111,$0.301,$0.3019,"$2,046,240","$116,596,151"
"Oct 03, 2020",$0.3302,$0.3337,$0.3094,$0.3109,"$5,263,358","$120,102,279"
"Oct 02, 2020",$0.3182,$0.3371,$0.2911,$0.3295,"$8,412,570","$127,255,811"
"Oct 01, 2020",$0.3346,$0.3398,$0.3121,$0.3179,"$4,058,444","$122,775,717"
"Sep 30, 2020",$0.3337,$0.3411,$0.3268,$0.3346,"$3,935,770","$129,219,236"
"Sep 29, 2020",$0.323,$0.3564,$0.3224,$0.3335,"$13,268,931","$128,800,502"
"Sep 28, 2020",$0.3128,$0.3455,$0.3127,$0.323,"$6,530,118","$124,713,843"
"Sep 27, 2020",$0.3158,$0.317,$0.3094,$0.3128,"$2,045,690","$120,764,751"
"Sep 26, 2020",$0.3241,$0.3241,$0.3104,$0.316,"$3,818,796","$122,000,324"
"Sep 25, 2020",$0.3026,$0.3389,$0.29,$0.3242,"$9,852,810","$125,164,766"
"Sep 24, 2020",$0.2906,$0.3018,$0.2877,$0.3018,"$3,230,273","$116,467,001"
"Sep 23, 2020",$0.3004,$0.3031,$0.2901,$0.2905,"$2,070,018","$112,112,785"
"Sep 22, 2020",$0.2898,$0.3034,$0.2897,$0.3005,"$2,469,114","$115,969,256"
"Sep 21, 2020",$0.3104,$0.3155,$0.2898,$0.2898,"$4,497,974","$111,824,385"
"Sep 20, 2020",$0.3178,$0.3209,$0.305,$0.3104,"$3,553,749","$119,761,822"
"Sep 19, 2020",$0.3197,$0.3206,$0.3071,$0.3179,"$3,348,288","$122,660,977"
"Sep 18, 2020",$0.3124,$0.3279,$0.3102,$0.3189,"$5,208,539","$123,049,678"
"Sep 17, 2020",$0.3211,$0.3306,$0.3117,$0.3124,"$5,778,452","$120,547,449"
"Sep 16, 2020",$0.3376,$0.3611,$0.3195,$0.3211,"$16,487,641","$123,903,987"
"Sep 15, 2020",$0.3201,$0.354,$0.3077,$0.3376,"$11,377,840","$130,240,601"
"Sep 14, 2020",$0.3091,$0.3263,$0.308,$0.3201,"$3,546,521","$123,476,219"
"Sep 13, 2020",$0.3297,$0.3475,$0.3012,$0.309,"$5,729,780","$119,208,972"
"Sep 12, 2020",$0.3388,$0.3398,$0.3214,$0.3297,"$5,839,564","$127,185,967"
"Sep 11, 2020",$0.3499,$0.3567,$0.3154,$0.3389,"$6,544,461","$130,728,170"
"Sep 10, 2020",$0.3175,$0.3815,$0.3173,$0.3499,"$10,150,695","$134,968,897"
"Sep 09, 2020",$0.3169,$0.3294,$0.311,$0.3174,"$4,667,526","$122,409,614"
"Sep 08, 2020",$0.3259,$0.3297,$0.3095,$0.3168,"$5,797,043","$122,198,944"
"Sep 07, 2020",$0.3421,$0.3559,$0.3091,$0.3261,"$7,396,679","$125,767,621"
